"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
1,"V",-0.631680663276928,0.0719500388955039,Inf,-0.772700148198372,-0.490661178355485,0.318135566338992,0.0835374842567712,Inf,0.154405105836639,0.481866026841345
1.5,"V",-0.607704752684492,0.0703023126643607,Inf,-0.745494753536513,-0.469914751832471,0.292352940951394,0.0817258934922679,Inf,0.132173133102193,0.452532748800596
2,"V",-0.583728842092056,0.068712561563575,Inf,-0.718402988042154,-0.449054696141957,0.266570315563797,0.0799802477860428,Inf,0.109811910428564,0.42332872069903
2.5,"V",-0.559752931499619,0.0671849011986784,Inf,-0.691432918153911,-0.428072944845328,0.240787690176199,0.0783049575848944,Inf,0.0873127934988696,0.394262586853529
3,"V",-0.535777020907183,0.0657236613656134,Inf,-0.664593030115892,-0.406961011698475,0.215005064788602,0.0767046328879519,Inf,0.0646667468808493,0.365343382696354
3.5,"V",-0.511801110314747,0.0643333681638464,Inf,-0.637892194920041,-0.385710025709452,0.189222439401004,0.0751840608654979,Inf,0.0418643878931609,0.336580490908847
4,"V",-0.487825199722311,0.0630187173551297,Inf,-0.611339616090274,-0.364310783354347,0.163439814013406,0.0737481748087798,Inf,0.0188960474626341,0.307983580564179
4.5,"V",-0.463849289129874,0.0617845376825301,Inf,-0.584944757789091,-0.342753820470658,0.137657188625809,0.0724020134020721,Inf,-0.00424815005043883,0.279562527302056
5,"V",-0.439873378537438,0.0606357430727108,Inf,-0.558717251135775,-0.321029505939101,0.111874563238211,0.071150669563746,Inf,-0.0275781865826411,0.251327313059064
5.5,"V",-0.415897467945002,0.0595772730249811,Inf,-0.532666777371075,-0.299128158518929,0.0860919378506137,0.069999228507984,Inf,-0.0511040289706242,0.223287904671852
6,"V",-0.391921557352566,0.0586140210699116,Inf,-0.506802927638664,-0.277040187066467,0.0603093124630161,0.068952695246122,Inf,-0.0748354868563493,0.195454111782381
6.5,"V",-0.367945646760129,0.0577507519661214,Inf,-0.481135040693833,-0.254756252826426,0.0345266870754185,0.0680159124715993,Inf,-0.0987820517445447,0.167835425895382
7,"V",-0.343969736167693,0.0569920092740943,Inf,-0.455672021751491,-0.232267450583896,0.00874406168782094,0.0671934706249943,Inf,-0.122952720733418,0.14044084410906
7.5,"V",-0.319993825575257,0.0563420160388494,Inf,-0.43042214782778,-0.209565503322734,-0.0170385636997767,0.0664896128546988,Inf,-0.147355810240998,0.113278682841444
8,"V",-0.296017914982821,0.0558045724230822,Inf,-0.405392867104719,-0.186642962860922,-0.0428211890873743,0.0659081384819168,Inf,-0.17199876680001,0.0863563886252611
8.5,"V",-0.272042004390384,0.055382955113479,Inf,-0.380590601770202,-0.163493407010567,-0.0686038144749718,0.065452309328116,Inf,-0.196887983463054,0.0596803545131104
9,"V",-0.248066093797948,0.0550798240071424,Inf,-0.356020565126752,-0.140111622469144,-0.0943864398625694,0.0651247637405562,Inf,-0.22202863129574,0.0332557515706007
